## Field Day Open Game Data 
# Retrieved from https://fielddaylab.wisc.edu/opengamedata 
# These anonymous data are provided in service of future educational data mining research. 
# They are made available under the Creative Commons CCO 1.0 Universal license. 
# See https://creativecommons.org/publicdomain/zero/1.0/ 

## Suggested citation: 
# Field Day. (2019). Open Educational Game Play Logs - [dataset ID]. Retrieved [today's date] from https://fielddaylab.wisc.edu/opengamedata 

## Game: CRYSTAL 
# Begin Date: 2019-03-01 00:00:00 
# End Date: 2019-03-31 23:59:59 

## Field Descriptions: 
# eventCount - Number of events in the given level
# durationInSecs - Time (in seconds) spent on the given level
# stampRotateCount - Number of stamp rotate events in the level. These are MOLECULE_ROTATE events with isStamp set true.
# singleRotateCount - Number of single rotation events in the level
# moleculeMoveCount - Number of molecule move (MOLECULE_RELEASE) events in the level
# clearBtnPresses - Number of times the clear button was pressed in the level
# avgMoleculeDragDurationInSecs - The average number of seconds each drag took, over the given level
# finalScore - The final score the player received for this level, among all plays
# completesCount - The number of completion events in the level
# sessionID - The player's session ID number for this play session
# persistentSessionID - The session ID for the player's device, persists across multiple players using the same device.
# sessionEventCount - The total number of events across the entire session
# sessionDurationInSecs - The total time (in seconds) spent over the entire session
# sessionStampRotateCount - Total number of stamp rotation events over the session
# sessionSingleRotateCount - Total number of single rotation events over the session
# sessionMoleculeMoveCount - Total number of molecule move events over the session
# sessionClearBtnPresses - Total number of times the clear button was pressed during the session
# sessionMuseumDurationInSecs - Total amount of time spent in a museum during the session?
lvl0_eventCount,lvl1_eventCount,lvl2_eventCount,lvl3_eventCount,lvl4_eventCount,lvl5_eventCount,lvl6_eventCount,lvl7_eventCount,lvl8_eventCount,lvl0_durationInSecs,lvl1_durationInSecs,lvl2_durationInSecs,lvl3_durationInSecs,lvl4_durationInSecs,lvl5_durationInSecs,lvl6_durationInSecs,lvl7_durationInSecs,lvl8_durationInSecs,lvl0_stampRotateCount,lvl1_stampRotateCount,lvl2_stampRotateCount,lvl3_stampRotateCount,lvl4_stampRotateCount,lvl5_stampRotateCount,lvl6_stampRotateCount,lvl7_stampRotateCount,lvl8_stampRotateCount,lvl0_singleRotateCount,lvl1_singleRotateCount,lvl2_singleRotateCount,lvl3_singleRotateCount,lvl4_singleRotateCount,lvl5_singleRotateCount,lvl6_singleRotateCount,lvl7_singleRotateCount,lvl8_singleRotateCount,lvl0_moleculeMoveCount,lvl1_moleculeMoveCount,lvl2_moleculeMoveCount,lvl3_moleculeMoveCount,lvl4_moleculeMoveCount,lvl5_moleculeMoveCount,lvl6_moleculeMoveCount,lvl7_moleculeMoveCount,lvl8_moleculeMoveCount,lvl0_clearBtnPresses,lvl1_clearBtnPresses,lvl2_clearBtnPresses,lvl3_clearBtnPresses,lvl4_clearBtnPresses,lvl5_clearBtnPresses,lvl6_clearBtnPresses,lvl7_clearBtnPresses,lvl8_clearBtnPresses,lvl0_avgMoleculeDragDurationInSecs,lvl1_avgMoleculeDragDurationInSecs,lvl2_avgMoleculeDragDurationInSecs,lvl3_avgMoleculeDragDurationInSecs,lvl4_avgMoleculeDragDurationInSecs,lvl5_avgMoleculeDragDurationInSecs,lvl6_avgMoleculeDragDurationInSecs,lvl7_avgMoleculeDragDurationInSecs,lvl8_avgMoleculeDragDurationInSecs,lvl0_finalScore,lvl1_finalScore,lvl2_finalScore,lvl3_finalScore,lvl4_finalScore,lvl5_finalScore,lvl6_finalScore,lvl7_finalScore,lvl8_finalScore,lvl0_completesCount,lvl1_completesCount,lvl2_completesCount,lvl3_completesCount,lvl4_completesCount,lvl5_completesCount,lvl6_completesCount,lvl7_completesCount,lvl8_completesCount,QA0_answerGiven,QA1_answerGiven,QA2_answerGiven,QA0_wasCorrect,QA1_wasCorrect,QA2_wasCorrect,sessionID,persistentSessionID,sessionEventCount,sessionDurationInSecs,sessionStampRotateCount,sessionSingleRotateCount,sessionMoleculeMoveCount,sessionClearBtnPresses,sessionMuseumDurationInSecs
20,12,19,152,84,71,51,127,0,109.0,63.0,50.0,575.0,355.0,1023.0,259.0,0,0,0,0,5,27,25,15,9,26,0,0,0,1,0,0,0,0,0,0,18,10,9,83,43,43,35,79,0,0,0,0,0,0,0,0,2,0,2.8902777777777775,2.4887000000000006,2.230111111111111,1.68544578313253,2.1641627906976746,2.2056511627906974,2.3137714285714286,2.345582278481013,0,36,30,30,36,67,100,38,0,0,1,1,1,3,2,2,2,0,0,1,0,-1,1,1,-1,19020007362251372,19020522405250856,536,2434.0,107,1,320,2,12.239
76,128,54,35,17,25,66,168,0,202.0,942.0,51.0,143.0,42.0,51.0,119.0,472.0,0,0,0,3,3,7,0,3,27,0,3,0,0,0,0,0,0,0,0,60,92,39,27,8,21,53,104,0,0,0,0,0,0,0,0,1,0,1.1648333333333334,1.526434782608696,0.8304871794871792,1.212777777777778,2.17375,1.449,1.0522830188679249,2.269826923076922,0,36,30,30,56,72,60,49,154,0,2,1,1,1,1,1,1,2,0,3,2,3,0,0,0,19020010451914130,19020010451914130,569,2022.0,43,3,404,1,1.697
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6310000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,19020011152212230,19010210070908170,7,0,0,0,6,0,0
14,22,25,47,98,20,54,0,0,56.0,63.0,95.0,181.0,72.0,75.0,178.0,0,0,0,9,7,12,36,2,19,0,0,0,1,0,0,0,0,0,0,0,12,8,9,26,45,16,28,0,0,0,0,1,1,4,0,0,0,0,2.449666666666667,2.4252499999999997,2.137888888888889,2.0902307692307693,2.307911111111111,2.5705625,1.8561428571428575,0,0,36,30,30,84,9,60,45,0,0,1,1,1,1,1,1,2,0,0,2,0,-1,0,1,-1,19020010482073910,19000511285775324,280,720.0,85,1,144,6,0
21,21,110,25,35,197,15,221,0,115.0,99.0,406.0,132.0,167.0,686.0,72.0,0,0,0,0,10,0,12,6,0,30,0,0,0,1,0,0,0,0,0,0,19,19,90,22,18,140,13,128,0,0,0,3,1,0,3,0,1,0,1.6367894736842108,1.2449999999999997,1.8326888888888886,1.4979545454545453,2.3252777777777776,1.93685,1.8626923076923079,2.466632812499999,0,36,30,30,84,104,0,70,0,0,1,1,2,1,1,2,1,0,0,0,1,-1,0,0,-1,19020011334186760,19020011334186760,645,1677.0,58,1,449,8,0
14,28,25,40,65,91,0,0,0,36.0,73.0,39.0,78.0,115.0,119.0,0,0,0,0,10,14,22,18,22,0,0,0,0,1,0,0,0,0,0,0,0,12,13,7,13,29,59,0,0,0,0,0,0,0,0,0,0,0,0,1.3775000000000002,1.6177692307692306,1.6064285714285715,1.3146923076923076,1.2062413793103448,1.1461186440677968,0,0,0,36,30,19,39,50,60,0,0,0,1,2,1,1,1,3,0,0,0,3,0,-1,0,1,-1,19020012573801384,19020012573801384,263,460.0,86,1,133,0,1.25
37,122,46,81,162,0,0,0,0,98.0,240.0,52.0,92.0,392.0,0,0,0,0,0,13,4,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,30,98,29,78,117,0,0,0,0,0,0,0,0,1,0,0,0,0,1.1271,1.3786326530612245,0.9561724137931035,0.5020769230769229,0.773880341880342,0,0,0,0,36,30,30,36,-4,0,0,0,0,2,4,1,1,3,0,0,0,0,0,1,-1,0,0,-1,19020013191677788,19020013191677788,448,874.0,45,1,352,1,6.042999999999999
15,16,30,14,53,4,0,0,0,38.0,35.0,43.0,30.0,115.0,0,0,0,0,0,1,15,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,13,12,10,12,32,2,0,0,0,0,1,1,0,3,0,0,0,0,1.4200000000000002,1.4213333333333333,1.4641,1.2804166666666665,1.6861875000000006,1.369,0,0,0,36,30,30,84,72,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,-1,1,1,-1,19020012263457800,19020012263457800,132,261.0,31,1,81,5,0
14,10,70,61,23,0,0,0,0,41.0,40.0,0,100.0,32.0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,8,45,50,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8187499999999999,1.68,0.7635555555555557,0.6531599999999999,0.5974999999999999,0,0,0,0,36,30,0,52,22,0,0,0,0,1,1,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,19020013044832810,19020013044832810,178,213.0,7,1,133,1,1.417
10,0,0,0,0,0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3623999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,19020012092362332,19020012092362332,10,43.0,0,0,5,0,0
